wavelength,flux,error,strip,errrms,errsys,errcal
16.936028,0.165942,0.005447,5,0.004203,0.001244,0.001954
17.006628,0.167114,0.004023,5,0.004023,0.0,0.001883
17.027721,0.163085,0.004305,5,0.004305,0.0,0.001927
17.098318,0.169077,0.00512,5,0.00445,6.7E-4,0.002005
17.119417,0.167715,0.00552,5,0.00485,6.7E-4,0.001986
17.19001,0.170192,0.004603,5,0.004603,0.0,0.002112
17.211111,0.1744,0.004729,5,0.004729,0.0,0.002087
17.281702,0.171429,0.004331,5,0.004331,0.0,0.002203
17.302805,0.169671,0.004614,5,0.004614,0.0,0.002076
17.373394,0.172636,0.004502,5,0.004502,0.0,0.00221
17.394501,0.174557,0.004919,5,0.004919,0.0,0.002099
17.465084,0.182345,0.004438,5,0.004438,0.0,0.002148
17.486197,0.172609,0.004934,5,0.004934,0.0,0.002004
17.556776,0.182875,0.004758,5,0.004758,0.0,0.001968
17.57789,0.176527,0.005245,5,0.005245,0.0,0.001895
17.648468,0.177574,0.004366,5,0.004366,0.0,0.0019
17.669586,0.172991,0.00501,5,0.00501,0.0,0.001711
17.740158,0.185934,0.005889,5,0.005889,0.0,0.001942
17.761282,0.188679,0.005043,5,0.005043,0.0,0.002308
17.83185,0.184718,0.007835,5,0.004952,0.002883,0.001821
17.852978,0.183101,0.009374,5,0.006491,0.002883,0.002987
17.92354,0.177159,0.005024,5,0.005024,0.0,0.001853
18.015232,0.182602,0.007234,5,0.005868,0.001366,0.002072
18.036369,0.189808,0.007563,5,0.006197,0.001366,0.002251
18.106924,0.179686,0.005314,5,0.005314,0.0,0.002116
18.128065,0.179302,0.005787,5,0.005787,0.0,0.001884
18.198614,0.183618,0.008046,5,0.005851,0.002196,0.002125
18.219761,0.184163,0.008378,5,0.006183,0.002196,0.001962
18.290306,0.180259,0.007917,5,0.005722,0.002196,0.002204
18.311457,0.184529,0.007411,5,0.005216,0.002196,0.001973
18.381996,0.187146,0.005066,5,0.005066,0.0,0.002322
18.403152,0.183582,0.006203,5,0.006203,0.0,0.00211
18.473688,0.182916,0.005388,5,0.005244,1.44E-4,0.00219
18.49485,0.186818,0.005386,5,0.005242,1.44E-4,0.002196
18.565378,0.183032,0.005064,5,0.005064,0.0,0.002
18.586546,0.182062,0.006816,5,0.006816,0.0,0.001989
18.65707,0.186121,0.005908,5,0.005908,0.0,0.001953
18.678244,0.179492,0.005402,5,0.005402,0.0,0.001684
18.74876,0.181667,0.007883,5,0.005706,0.002178,0.001872
18.769939,0.178977,0.007664,5,0.005487,0.002178,0.001574
18.84045,0.181595,0.005047,5,0.005047,0.0,0.001961
18.861637,0.18891,0.0055,5,0.0055,0.0,0.002253
18.932142,0.182956,0.007284,5,0.004956,0.002328,0.002531
18.953335,0.181011,0.007517,5,0.005189,0.002328,0.002481
19.045033,0.181078,0.004821,5,0.004821,0.0,0.001784
19.115522,0.184761,0.008573,5,0.006395,0.002178,0.002515
19.136728,0.185346,0.007455,5,0.005277,0.002178,0.001657
19.207214,0.178494,0.006041,5,0.005374,6.67E-4,0.001844
19.228426,0.181849,0.006652,5,0.005985,6.67E-4,0.001497
19.298904,0.177705,0.005393,5,0.005393,0.0,0.002638
19.320124,0.177225,0.00539,5,0.00539,0.0,0.001402
19.390594,0.175473,0.008693,5,0.006575,0.002118,0.003131
19.411821,0.175265,0.007756,5,0.005638,0.002118,0.001512
